stream,panel,condition,menu,method,step,failure,credits,task_cost_units,memory_before,memory_after,true_mode,predicted_failure_own_kernel,planning_seconds,probe_seconds,tool_seconds
30,0,data_shift,single,random_32,0,0,0,0,7,7,2,0.12,1.1916039511561394e-05,1.2079253792762756e-06,9.874813258647919e-06
30,0,data_shift,single,random_32,1,0,2,2,7,3,2,0.0,8.667120710015297e-06,1.583946868777275e-06,5.832873284816742e-06
30,0,data_shift,single,random_32,2,0,0,0,3,3,2,0.12,7.833121344447136e-06,7.501803338527679e-07,4.875008016824722e-06
30,0,data_shift,single,random_32,3,0,2,2,3,3,2,0.0,7.457798346877098e-06,1.125037670135498e-06,4.542060196399689e-06
30,0,data_shift,single,random_32,4,0,0,0,3,3,2,0.12,7.832888513803482e-06,5.417969077825546e-07,4.62518073618412e-06
30,0,data_shift,single,random_32,5,0,2,2,3,7,6,0.0,7.375143468379974e-06,1.1248048394918442e-06,4.207948222756386e-06
30,0,data_shift,single,random_32,6,0,0,0,7,7,6,0.12,7.250113412737846e-06,5.420297384262085e-07,3.6249402910470963e-06
30,0,data_shift,single,random_32,7,0,2,2,7,3,2,0.0,7.3749106377363205e-06,9.171199053525925e-07,4.166970029473305e-06
31,0,data_shift,single,random_32,0,1,0,20,1,1,3,0.25926,1.0041985660791397e-05,9.171199053525925e-07,2.0124949514865875e-05
31,0,data_shift,single,random_32,1,0,0,0,1,1,1,0.4237746585599999,7.875030860304832e-06,7.920898497104645e-07,1.612515188753605e-05
31,0,data_shift,single,random_32,2,0,4,4,1,1,1,0.0,7.334165275096893e-06,2.083834260702133e-06,1.100008375942707e-05
31,0,data_shift,single,random_32,3,0,0,0,1,1,1,0.1992,7.2498805820941925e-06,6.249174475669861e-07,1.0584015399217606e-05
31,0,data_shift,single,random_32,4,0,0,0,1,1,1,0.33614592,7.875030860304832e-06,6.2515027821064e-07,1.1082971468567848e-05
31,0,data_shift,single,random_32,5,0,4,4,1,1,1,0.0,7.5409188866615295e-06,1.584179699420929e-06,1.0207993909716606e-05
31,0,data_shift,single,random_32,6,0,0,0,1,1,1,0.42677402714112,7.292022928595543e-06,5.420297384262085e-07,4.834029823541641e-06
31,0,data_shift,single,random_32,7,0,0,0,1,1,2,0.44434826062725113,7.125083357095718e-06,5.830079317092896e-07,4.00003045797348e-06
0,0,matched,single,occupancy_16,0,0,0,0,4,4,4,0.2256,1.0292045772075653e-05,1.834006980061531e-06,2.6082852855324745e-05
0,0,matched,single,occupancy_16,1,1,0,20,4,4,7,0.37779455999999995,8.417060598731041e-06,8.330680429935455e-07,3.6249402910470963e-06
0,0,matched,single,occupancy_16,2,0,4,4,4,7,7,0.0,7.708091288805008e-06,2.2081658244132996e-06,1.3584038242697716e-05
0,0,matched,single,occupancy_16,3,0,0,0,7,7,7,0.1992,7.707858458161354e-06,7.499475032091141e-07,1.3166805729269981e-05
0,0,matched,single,occupancy_16,4,0,0,0,7,7,2,0.05495926128112434,7.459195330739021e-06,6.249174475669861e-07,1.654215157032013e-05
0,0,matched,single,occupancy_16,5,0,0,0,7,7,2,0.06726858179941302,7.583992555737495e-06,5.830079317092896e-07,1.5999889001250267e-05
0,0,matched,single,occupancy_16,6,0,0,0,7,7,2,0.07673885353647174,7.5409188866615295e-06,5.420297384262085e-07,1.5750061720609665e-05
0,0,matched,single,occupancy_16,7,0,0,0,7,7,2,0.08403269799927558,7.708091288805008e-06,4.998873919248581e-07,1.4207791537046432e-05
1,0,matched,single,occupancy_16,0,0,0,0,0,0,0,0.12,1.1667143553495407e-05,9.578652679920197e-07,1.0417075827717781e-05
1,0,matched,single,occupancy_16,1,0,2,2,0,0,0,0.0,8.041970431804657e-06,1.7499551177024841e-06,5.499925464391708e-06
1,0,matched,single,occupancy_16,2,1,0,20,0,0,4,0.12,8.582836017012596e-06,6.658956408500671e-07,5.375128239393234e-06
1,0,matched,single,occupancy_16,3,0,2,2,0,4,4,0.0,7.6249707490205765e-06,1.209089532494545e-06,4.667090252041817e-06
1,0,matched,single,occupancy_16,4,0,0,0,4,4,4,0.12,7.874798029661179e-06,5.408655852079391e-07,4.334142431616783e-06
1,0,matched,single,occupancy_16,5,0,2,2,4,4,4,0.0,7.95908272266388e-06,9.168870747089386e-07,4.083150997757912e-06
1,0,matched,single,occupancy_16,6,0,0,0,4,4,7,0.12,8.00006091594696e-06,5.83939254283905e-07,4.00003045797348e-06
1,0,matched,single,occupancy_16,7,0,2,2,4,4,7,0.0,7.916940376162529e-06,1.00000761449337e-06,3.7499703466892242e-06
2,0,matched,single,occupancy_16,0,0,0,0,1,1,1,0.25926,9.708106517791748e-06,8.330680429935455e-07,1.770816743373871e-05
2,0,matched,single,occupancy_16,1,1,0,20,1,1,5,0.4237746585599999,7.916940376162529e-06,7.08969309926033e-07,1.2791948392987251e-05
2,0,matched,single,occupancy_16,2,1,2,22,1,1,5,0.34881947712,7.542083039879799e-06,1.250067725777626e-06,1.2208009138703346e-05
2,0,matched,single,occupancy_16,3,0,4,4,1,5,5,0.12,7.4999406933784485e-06,1.6668345779180527e-06,1.216609962284565e-05
2,0,matched,single,occupancy_16,4,0,0,0,5,5,5,0.3360276,7.4999406933784485e-06,6.2515027821064e-07,1.1125113815069199e-05
2,0,matched,single,occupancy_16,5,0,2,2,5,5,5,0.2694912,7.375143468379974e-06,1.00000761449337e-06,9.916024282574654e-06
2,0,matched,single,occupancy_16,6,0,0,0,5,5,5,0.03689397116352,7.4158888310194016e-06,5.83939254283905e-07,1.0832911357283592e-05
2,0,matched,single,occupancy_16,7,0,0,0,5,5,5,0.054284160860246504,7.6249707490205765e-06,5.00120222568512e-07,1.158309169113636e-05
3,0,matched,single,occupancy_16,0,1,0,20,6,6,7,0.25464,1.1750031262636185e-05,1.1669471859931946e-06,6.791902706027031e-06
3,0,matched,single,occupancy_16,1,1,0,20,6,6,7,0.4188601190399999,8.125090971589088e-06,7.91158527135849e-07,4.124827682971954e-06
3,0,matched,single,occupancy_16,2,0,4,4,6,7,7,0.08765999999999999,7.6249707490205765e-06,1.9171275198459625e-06,1.774984411895275e-05
3,0,matched,single,occupancy_16,3,0,0,0,7,7,3,0.2411909952,7.875030860304832e-06,7.080379873514175e-07,1.5208963304758072e-05
3,0,matched,single,occupancy_16,4,0,2,2,7,7,6,0.174934676544,7.458031177520752e-06,1.2079253792762756e-06,1.1333031579852104e-05
3,0,matched,single,occupancy_16,5,1,0,20,7,7,6,0.2984139702349087,8.00006091594696e-06,5.00120222568512e-07,1.1124880984425545e-05
3,0,matched,single,occupancy_16,6,1,2,22,7,7,2,0.22360211018648224,7.834052667021751e-06,9.59029421210289e-07,1.0875053703784943e-05
3,0,matched,single,occupancy_16,7,1,0,20,7,7,2,0.3305803096773467,7.542083039879799e-06,5.420297384262085e-07,1.058308407664299e-05
4,0,matched,single,occupancy_16,0,0,0,0,1,1,0,0.05241899999999999,1.0666903108358383e-05,8.752103894948959e-07,1.5750061720609665e-05
4,0,matched,single,occupancy_16,1,0,0,0,1,1,0,0.09195840614399999,8.124858140945435e-06,7.499475032091141e-07,1.2292061001062393e-05
4,0,matched,single,occupancy_16,2,0,0,0,1,1,0,0.12168934487178854,7.708091288805008e-06,6.2515027821064e-07,1.1334195733070374e-05
4,0,matched,single,occupancy_16,3,0,2,2,1,1,0,0.0,7.707858458161354e-06,1.2919772416353226e-06,4.916917532682419e-06
4,0,matched,single,occupancy_16,4,0,4,4,1,0,0,0.0,7.750000804662704e-06,1.583946868777275e-06,1.1916039511561394e-05
4,0,matched,single,occupancy_16,5,0,0,0,0,0,0,0.18765791999999998,7.750000804662704e-06,6.2515027821064e-07,1.4374963939189911e-05
4,0,matched,single,occupancy_16,6,0,2,2,0,0,0,0.1134307584,7.582828402519226e-06,1.2498348951339722e-06,1.3875076547265053e-05
4,0,matched,single,occupancy_16,7,0,0,0,0,0,0,0.2447265814536192,7.750000804662704e-06,5.420297384262085e-07,1.3999873772263527e-05
5,0,matched,single,occupancy_16,0,0,0,0,6,6,6,0.2256,1.0290881618857384e-05,7.918570190668106e-07,1.6625039279460907e-05
5,0,matched,single,occupancy_16,1,0,0,0,6,6,6,0.37779455999999995,7.95908272266388e-06,6.670597940683365e-07,1.395796425640583e-05
5,0,matched,single,occupancy_16,2,0,4,4,6,6,6,0.08765999999999999,7.707858458161354e-06,1.708976924419403e-06,1.750001683831215e-05
5,0,matched,single,occupancy_16,3,1,0,20,6,6,7,0.30623176704,7.458031177520752e-06,5.00120222568512e-07,2.749962732195854e-06
5,0,matched,single,occupancy_16,4,1,0,20,6,6,7,0.450363883715543,7.3749106377363205e-06,5.420297384262085e-07,2.7080532163381577e-06
5,0,matched,single,occupancy_16,5,0,4,4,6,7,7,0.12614063615999999,7.457798346877098e-06,1.3331882655620575e-06,1.77919864654541e-05
5,0,matched,single,occupancy_16,6,1,0,20,7,7,5,0.26596175030891517,7.6249707490205765e-06,4.591420292854309e-07,1.1832918971776962e-05
5,0,matched,single,occupancy_16,7,1,0,20,7,7,5,0.36556354439247263,7.667113095521927e-06,5.420297384262085e-07,1.1082971468567848e-05
6,0,matched,single,occupancy_16,0,0,0,0,1,1,1,0.12,9.958166629076004e-06,7.920898497104645e-07,6.624963134527206e-06
6,0,matched,single,occupancy_16,1,0,2,2,1,1,1,0.0,7.791910320520401e-06,1.2498348951339722e-06,4.791887477040291e-06
6,0,matched,single,occupancy_16,2,0,2,2,1,1,1,0.2696052,7.375143468379974e-06,1.00000761449337e-06,1.3874843716621399e-05
6,0,matched,single,occupancy_16,3,0,0,0,1,1,1,0.42703738306559996,7.666880264878273e-06,6.2515027821064e-07,1.1958880349993706e-05
6,0,matched,single,occupancy_16,4,0,2,2,1,1,1,0.349492416,7.832888513803482e-06,1.1671800166368484e-06,1.2625008821487427e-05
6,0,matched,single,occupancy_16,5,0,2,2,1,1,1,0.0,8.083879947662354e-06,1.00000761449337e-06,4.875008016824722e-06
6,0,matched,single,occupancy_16,6,0,0,0,1,1,1,0.11999999999999998,7.666880264878273e-06,5.841720849275589e-07,4.37488779425621e-06
6,0,matched,single,occupancy_16,7,0,0,0,1,1,0,0.2112,7.3749106377363205e-06,4.5890919864177704e-07,4.041939973831177e-06
7,0,matched,single,occupancy_16,0,1,0,20,0,0,4,0.28368,1.0042218491435051e-05,9.159557521343231e-07,1.845788210630417e-05
7,0,matched,single,occupancy_16,1,1,0,20,0,0,4,0.4599256780799999,7.916940376162529e-06,6.670597940683365e-07,1.4458084478974342e-05
7,0,matched,single,occupancy_16,2,1,2,22,0,0,4,0.40665263615999997,7.6249707490205765e-06,1.416075974702835e-06,1.4457851648330688e-05
7,0,matched,single,occupancy_16,3,0,4,4,0,4,4,0.12,8.167000487446785e-06,1.6249250620603561e-06,1.3499986380338669e-05
7,0,matched,single,occupancy_16,4,0,0,0,4,4,4,0.3579168,7.6249707490205765e-06,5.83939254283905e-07,1.3541895896196365e-05
7,0,matched,single,occupancy_16,5,0,2,2,4,5,5,0.3153216,7.875030860304832e-06,1.125037670135498e-06,1.4499993994832039e-05
7,0,matched,single,occupancy_16,6,0,0,0,5,5,5,0.4600538989056,7.58306123316288e-06,5.830079317092896e-07,1.291697844862938e-05
7,0,matched,single,occupancy_16,7,0,0,0,5,5,1,0.555675555936967,7.583992555737495e-06,5.408655852079391e-07,1.3124896213412285e-05
8,0,no_drift,single,occupancy_16,0,0,0,0,3,3,3,0.1992,9.916955605149269e-06,8.33999365568161e-07,1.674983650445938e-05
8,0,no_drift,single,occupancy_16,1,0,0,0,3,3,3,0.33614591999999993,7.875030860304832e-06,5.841720849275589e-07,1.3625016435980797e-05
8,0,no_drift,single,occupancy_16,2,0,4,4,3,3,3,0.0,7.6249707490205765e-06,1.750187948346138e-06,1.4208955690264702e-05
8,0,no_drift,single,occupancy_16,3,0,0,0,3,3,3,0.1992,7.4999406933784485e-06,5.827751010656357e-07,1.3167038559913635e-05
8,0,no_drift,single,occupancy_16,4,0,0,0,3,3,3,0.33614592,7.3749106377363205e-06,5.417969077825546e-07,1.2999866157770157e-05
8,0,no_drift,single,occupancy_16,5,0,4,4,3,3,3,0.0,7.666880264878273e-06,1.3748649507761002e-06,1.3333046808838844e-05
8,0,no_drift,single,occupancy_16,6,0,0,0,3,3,3,0.1992,7.665948942303658e-06,5.00120222568512e-07,0.0001502500381320715
8,0,no_drift,single,occupancy_16,7,0,0,0,3,3,3,0.33614591999999993,7.541151717305183e-06,6.670597940683365e-07,1.2459000572562218e-05
9,0,no_drift,single,occupancy_16,0,0,0,0,6,6,6,0.12,1.0083895176649094e-05,7.918570190668106e-07,6.4158812165260315e-06
9,0,no_drift,single,occupancy_16,1,0,2,2,6,6,6,0.0,8.041039109230042e-06,1.2919772416353226e-06,5.166977643966675e-06
9,0,no_drift,single,occupancy_16,2,0,0,0,6,6,6,0.12,7.458031177520752e-06,6.2515027821064e-07,4.415865987539291e-06
9,0,no_drift,single,occupancy_16,3,0,4,4,6,6,6,0.0,7.4999406933784485e-06,1.7499551177024841e-06,1.0416842997074127e-05
9,0,no_drift,single,occupancy_16,4,0,0,0,6,6,6,0.2256,7.58306123316288e-06,5.830079317092896e-07,9.040813893079758e-06
9,0,no_drift,single,occupancy_16,5,0,2,2,6,6,6,0.2112,7.582828402519226e-06,1.0828953236341476e-06,9.00006853044033e-06
9,0,no_drift,single,occupancy_16,6,0,0,0,6,6,6,0.36685056,7.582828402519226e-06,5.841720849275589e-07,8.208910003304482e-06
9,0,no_drift,single,occupancy_16,7,0,0,0,6,6,6,0.47401957785599996,7.583992555737495e-06,4.998873919248581e-07,7.958151400089264e-06
10,0,no_drift,single,occupancy_16,0,0,0,0,7,7,7,0.25926,1.0292045772075653e-05,8.330680429935455e-07,1.5625031664967537e-05
10,0,no_drift,single,occupancy_16,1,0,0,0,7,7,7,0.4237746585599999,7.999828085303307e-06,6.658956408500671e-07,1.191697083413601e-05
10,0,no_drift,single,occupancy_16,2,0,2,2,7,7,7,0.34881947712,7.582828402519226e-06,1.250067725777626e-06,1.1292053386569023e-05
10,0,no_drift,single,occupancy_16,3,0,0,0,7,7,7,0.03983559321604915,7.6249707490205765e-06,5.841720849275589e-07,1.1083204299211502e-05
10,0,no_drift,single,occupancy_16,4,0,0,0,7,7,7,0.056406032384545585,7.458031177520752e-06,5.00120222568512e-07,1.1666910722851753e-05
10,0,no_drift,single,occupancy_16,5,0,0,0,7,7,7,0.0688480347516795,7.58306123316288e-06,5.420297384262085e-07,1.0458054021000862e-05
10,0,no_drift,single,occupancy_16,6,0,0,0,7,7,7,0.07824633728467835,7.58306123316288e-06,5.830079317092896e-07,1.0916031897068024e-05
10,0,no_drift,single,occupancy_16,7,0,0,0,7,7,7,0.08536889401801112,7.292022928595543e-06,5.408655852079391e-07,1.095910556614399e-05
11,0,no_drift,single,occupancy_16,0,0,0,0,6,6,6,0.25464,1.0125106200575829e-05,9.168870747089386e-07,1.8333084881305695e-05
11,0,no_drift,single,occupancy_16,1,0,0,0,6,6,6,0.4188601190399999,8.124858140945435e-06,7.078051567077637e-07,1.5333062037825584e-05
11,0,no_drift,single,occupancy_16,2,0,4,4,6,6,6,0.08765999999999999,7.708091288805008e-06,1.750187948346138e-06,1.4499993994832039e-05
11,0,no_drift,single,occupancy_16,3,0,0,0,6,6,6,0.30623176704,7.4999406933784485e-06,5.420297384262085e-07,1.391698606312275e-05
11,0,no_drift,single,occupancy_16,4,0,2,2,6,6,6,0.05307337669632,7.417052984237671e-06,9.580980986356735e-07,1.4750054106116295e-05
11,0,no_drift,single,occupancy_16,5,0,0,0,6,6,6,0.1760300772942191,7.542083039879799e-06,5.41098415851593e-07,1.2999866157770157e-05
11,0,no_drift,single,occupancy_16,6,0,2,2,6,6,6,0.2112,7.666880264878273e-06,1.0409858077764511e-06,1.1082971468567848e-05
11,0,no_drift,single,occupancy_16,7,0,0,0,6,6,6,0.3118863839637535,7.4999406933784485e-06,4.5797787606716156e-07,1.4374963939189911e-05
12,0,no_drift,single,occupancy_16,0,0,0,0,4,4,4,0.144816,1.0083895176649094e-05,7.501803338527679e-07,1.7416896298527718e-05
12,0,no_drift,single,occupancy_16,1,0,2,2,4,4,4,0.04722431999999999,7.791910320520401e-06,1.333886757493019e-06,1.4875084161758423e-05
12,0,no_drift,single,occupancy_16,2,0,0,0,4,4,4,0.17305707196415998,7.95791856944561e-06,6.66128471493721e-07,1.4791032299399376e-05
12,0,no_drift,single,occupancy_16,3,0,2,2,4,4,4,0.06942040628920321,7.666880264878273e-06,1.166015863418579e-06,1.337495632469654e-05
12,0,no_drift,single,occupancy_16,4,0,0,0,4,4,4,0.1867866659756065,7.541850209236145e-06,4.998873919248581e-07,1.4082994312047958e-05
12,0,no_drift,single,occupancy_16,5,0,2,2,4,4,4,0.08054584001171264,7.62520357966423e-06,1.125037670135498e-06,1.3707904145121574e-05
12,0,no_drift,single,occupancy_16,6,0,0,0,4,4,4,0.19385531824439894,8.792150765657425e-06,5.41098415851593e-07,1.2999866157770157e-05
12,0,no_drift,single,occupancy_16,7,0,2,2,4,4,4,0.08640639306650486,7.999828085303307e-06,9.578652679920197e-07,1.4124903827905655e-05
13,0,no_drift,single,occupancy_16,0,0,0,0,0,0,0,0.2256,1.0041054338216782e-05,8.749775588512421e-07,1.637497916817665e-05
13,0,no_drift,single,occupancy_16,1,0,0,0,0,0,0,0.4517125662719999,7.999828085303307e-06,7.080379873514175e-07,1.7625046893954277e-05
13,0,no_drift,single,occupancy_16,2,0,2,2,0,0,0,0.394038572544,8.041039109230042e-06,1.333886757493019e-06,1.637497916817665e-05
13,0,no_drift,single,occupancy_16,3,0,4,4,0,0,0,0.12,7.58306123316288e-06,1.6249250620603561e-06,1.6292091459035873e-05
13,0,no_drift,single,occupancy_16,4,0,2,2,0,0,0,0.1794,7.458031177520752e-06,1.00000761449337e-06,1.6416888684034348e-05
13,0,no_drift,single,occupancy_16,5,0,0,0,0,0,0,0.39748300799999997,8.167000487446785e-06,8.749775588512421e-07,1.750001683831215e-05
13,0,no_drift,single,occupancy_16,6,0,0,0,0,0,0,0.531967599403008,8.125090971589088e-06,7.080379873514175e-07,1.6165897250175476e-05
13,0,no_drift,single,occupancy_16,7,0,0,0,0,0,0,0.6201448364899911,7.667113095521927e-06,5.830079317092896e-07,1.6958219930529594e-05
14,0,no_drift,single,occupancy_16,0,0,0,0,5,5,5,0.12,1.0292045772075653e-05,8.749775588512421e-07,6.3749030232429504e-06
14,0,no_drift,single,occupancy_16,1,0,2,2,5,5,5,0.0,8.00006091594696e-06,1.4579854905605316e-06,5.166046321392059e-06
14,0,no_drift,single,occupancy_16,2,0,0,0,5,5,5,0.12,7.5409188866615295e-06,7.08969309926033e-07,4.667090252041817e-06
14,0,no_drift,single,occupancy_16,3,0,2,2,5,5,5,0.0,7.665948942303658e-06,1.1671800166368484e-06,4.207948222756386e-06
14,0,no_drift,single,occupancy_16,4,0,4,4,5,5,5,0.0,7.458031177520752e-06,1.4998950064182281e-06,1.333397813141346e-05
14,0,no_drift,single,occupancy_16,5,0,0,0,5,5,5,0.1992,7.875030860304832e-06,5.830079317092896e-07,1.1667143553495407e-05
14,0,no_drift,single,occupancy_16,6,0,0,0,5,5,5,0.33614591999999993,7.416121661663055e-06,5.420297384262085e-07,1.0667135939002037e-05
14,0,no_drift,single,occupancy_16,7,0,0,0,5,5,5,0.43188076339199993,7.500173524022102e-06,4.998873919248581e-07,1.1042226105928421e-05
15,0,no_drift,single,occupancy_16,0,0,0,0,0,0,0,0.28368,9.584007784724236e-06,1.00000761449337e-06,1.6665784642100334e-05
15,0,no_drift,single,occupancy_16,1,0,2,2,0,0,0,0.09518784,8.00006091594696e-06,1.5420373529195786e-06,1.5042023733258247e-05
15,0,no_drift,single,occupancy_16,2,0,0,0,0,0,0,0.23232490401792,7.665948942303658e-06,7.080379873514175e-07,1.3583805412054062e-05
15,0,no_drift,single,occupancy_16,3,0,2,2,0,0,0,0.1527086768553984,8.124858140945435e-06,1.125037670135498e-06,1.3666925951838493e-05
15,0,no_drift,single,occupancy_16,4,0,2,2,0,0,0,0.181581915648,7.4999406933784485e-06,1.0421499609947205e-06,1.3625016435980797e-05
15,0,no_drift,single,occupancy_16,5,0,2,2,0,0,0,0.10871175696384,7.58306123316288e-06,9.578652679920197e-07,1.3084150850772858e-05
15,0,no_drift,single,occupancy_16,6,0,0,0,0,0,0,0.24183912157755602,7.665948942303658e-06,5.00120222568512e-07,1.3499986380338669e-05
15,0,no_drift,single,occupancy_16,7,0,0,0,0,0,0,0.33838107359752445,7.583992555737495e-06,4.591420292854309e-07,1.3290904462337494e-05
16,0,fast_drift,single,occupancy_16,0,1,0,20,0,0,5,0.2256,1.0167015716433525e-05,9.159557521343231e-07,4.499917849898338e-06
16,0,fast_drift,single,occupancy_16,1,1,0,20,0,0,5,0.37779455999999995,8.333008736371994e-06,7.499475032091141e-07,3.4999102354049683e-06
16,0,fast_drift,single,occupancy_16,2,0,4,4,0,1,1,0.0,7.58306123316288e-06,1.791166141629219e-06,1.2999866157770157e-05
16,0,fast_drift,single,occupancy_16,3,0,2,2,1,1,1,0.0,7.708091288805008e-06,1.375097781419754e-06,5.00003807246685e-06
16,0,fast_drift,single,occupancy_16,4,0,0,0,1,1,1,0.11999999999999997,7.791910320520401e-06,6.2515027821064e-07,4.375120624899864e-06
16,0,fast_drift,single,occupancy_16,5,0,2,2,1,1,0,0.0,7.459195330739021e-06,1.00000761449337e-06,4.542060196399689e-06
16,0,fast_drift,single,occupancy_16,6,1,0,20,1,1,6,0.12,7.667113095521927e-06,5.420297384262085e-07,4.00003045797348e-06
16,0,fast_drift,single,occupancy_16,7,0,0,0,1,1,4,0.5486695644518625,7.333001121878624e-06,4.998873919248581e-07,9.458046406507492e-06
17,0,fast_drift,single,occupancy_16,0,0,0,0,3,3,2,0.12,1.0082963854074478e-05,8.330680429935455e-07,6.292015314102173e-06
17,0,fast_drift,single,occupancy_16,1,0,2,2,3,3,1,0.0,7.875030860304832e-06,1.333886757493019e-06,4.915986210107803e-06
17,0,fast_drift,single,occupancy_16,2,0,0,0,3,3,2,0.12,7.58306123316288e-06,5.830079317092896e-07,4.542060196399689e-06
17,0,fast_drift,single,occupancy_16,3,0,2,2,3,7,6,0.0,7.3749106377363205e-06,1.084059476852417e-06,4.249857738614082e-06
17,0,fast_drift,single,occupancy_16,4,0,0,0,7,7,4,0.12,7.2910916060209274e-06,5.420297384262085e-07,4.082918167114258e-06
17,0,fast_drift,single,occupancy_16,5,0,2,2,7,7,6,0.0,7.3749106377363205e-06,1.00000761449337e-06,3.833090886473656e-06
17,0,fast_drift,single,occupancy_16,6,0,0,0,7,7,4,0.12,7.58306123316288e-06,5.420297384262085e-07,3.875000402331352e-06
17,0,fast_drift,single,occupancy_16,7,0,2,2,7,7,4,0.0,7.458031177520752e-06,8.749775588512421e-07,3.6670826375484467e-06
18,0,fast_drift,single,occupancy_16,0,0,0,0,2,2,2,0.28368,9.750016033649445e-06,7.91158527135849e-07,1.8249964341521263e-05
18,0,fast_drift,single,occupancy_16,1,0,0,0,2,2,2,0.4599256780799999,8.124858140945435e-06,6.658956408500671e-07,1.4750054106116295e-05
18,0,fast_drift,single,occupancy_16,2,0,2,2,2,2,6,0.40665263615999997,7.709022611379623e-06,1.250067725777626e-06,1.4749821275472641e-05
18,0,fast_drift,single,occupancy_16,3,1,4,24,2,6,7,0.12,7.4158888310194016e-06,1.5418045222759247e-06,2.9581133276224136e-06
18,0,fast_drift,single,occupancy_16,4,1,0,20,6,6,7,0.3579168,7.2089023888111115e-06,5.420297384262085e-07,2.834014594554901e-06
18,0,fast_drift,single,occupancy_16,5,0,2,2,6,7,7,0.3153216,7.791910320520401e-06,1.0828953236341476e-06,1.4042016118764877e-05
18,0,fast_drift,single,occupancy_16,6,1,0,20,7,7,6,0.4600538989056,7.3749106377363205e-06,5.83939254283905e-07,1.1250143870711327e-05
18,0,fast_drift,single,occupancy_16,7,0,0,0,7,7,6,0.555675555936967,7.334165275096893e-06,4.998873919248581e-07,1.1458061635494232e-05
19,0,fast_drift,single,occupancy_16,0,1,0,20,3,3,1,0.21017249999999998,9.832903742790222e-06,7.918570190668106e-07,1.8042046576738358e-05
19,0,fast_drift,single,occupancy_16,1,1,0,20,3,3,5,0.35078541695999993,8.249888196587563e-06,6.658956408500671e-07,1.5083001926541328e-05
19,0,fast_drift,single,occupancy_16,2,0,4,4,3,1,1,0.08765999999999999,7.4999406933784485e-06,1.8330756574869156e-06,1.7875107005238533e-05
19,0,fast_drift,single,occupancy_16,3,1,0,20,1,1,4,0.26484218496,7.583992555737495e-06,6.249174475669861e-07,1.3584038242697716e-05
19,0,fast_drift,single,occupancy_16,4,0,0,0,1,1,5,0.38597953135159296,7.417052984237671e-06,5.420297384262085e-07,1.554214395582676e-05
19,0,fast_drift,single,occupancy_16,5,0,4,4,1,7,7,0.12614063615999999,7.875030860304832e-06,1.5420373529195786e-06,1.570815220475197e-05
19,0,fast_drift,single,occupancy_16,6,1,0,20,7,7,5,0.26596175030891517,7.5409188866615295e-06,5.420297384262085e-07,1.3125129044055939e-05
19,0,fast_drift,single,occupancy_16,7,1,0,20,7,7,5,0.36556354439247263,7.583992555737495e-06,5.00120222568512e-07,1.3292068615555763e-05
20,0,fast_drift,single,occupancy_16,0,0,0,0,2,2,6,0.166992,1.0041985660791397e-05,7.920898497104645e-07,1.5042023733258247e-05
20,0,fast_drift,single,occupancy_16,1,0,2,2,2,2,6,0.09518784,8.041970431804657e-06,1.375097781419754e-06,1.2290896847844124e-05
20,0,fast_drift,single,occupancy_16,2,0,0,0,2,2,2,0.23232490401792,7.6249707490205765e-06,6.668269634246826e-07,1.1875061318278313e-05
20,0,fast_drift,single,occupancy_16,3,0,2,2,2,2,2,0.1527086768553984,7.207971066236496e-06,1.166015863418579e-06,1.1249911040067673e-05
20,0,fast_drift,single,occupancy_16,4,1,2,22,2,6,7,0.181581915648,7.2908587753772736e-06,1.0419171303510666e-06,3.1660310924053192e-06
20,0,fast_drift,single,occupancy_16,5,1,2,22,6,6,7,0.27036,7.666181772947311e-06,1.0419171303510666e-06,2.6668421924114227e-06
20,0,fast_drift,single,occupancy_16,6,0,0,0,6,6,6,0.45042628607999996,7.958151400089264e-06,4.998873919248581e-07,1.1208932846784592e-05
20,0,fast_drift,single,occupancy_16,7,0,0,0,6,6,6,0.5662344654662861,7.667113095521927e-06,4.998873919248581e-07,1.1041061952710152e-05
21,0,fast_drift,single,occupancy_16,0,0,0,0,1,1,1,0.1992,9.624985978007317e-06,8.33999365568161e-07,1.3666925951838493e-05
21,0,fast_drift,single,occupancy_16,1,0,0,0,1,1,1,0.33614591999999993,8.124858140945435e-06,6.249174475669861e-07,1.1167023330926895e-05
21,0,fast_drift,single,occupancy_16,2,0,4,4,1,1,1,0.0,7.6249707490205765e-06,1.8328428268432617e-06,1.1708121746778488e-05
21,0,fast_drift,single,occupancy_16,3,1,0,20,1,1,7,0.1992,7.95908272266388e-06,6.249174475669861e-07,1.3832934200763702e-05
21,0,fast_drift,single,occupancy_16,4,1,0,20,1,1,6,0.33614592,7.4999406933784485e-06,5.830079317092896e-07,1.0292045772075653e-05
21,0,fast_drift,single,occupancy_16,5,0,4,4,1,3,7,0.0,7.4999406933784485e-06,1.6249250620603561e-06,1.0624993592500687e-05
21,0,fast_drift,single,occupancy_16,6,0,0,0,3,3,3,0.1992,7.4999406933784485e-06,6.2515027821064e-07,1.0249903425574303e-05
21,0,fast_drift,single,occupancy_16,7,0,0,0,3,3,7,0.33614591999999993,7.4589625000953674e-06,4.998873919248581e-07,1.0167015716433525e-05
22,0,fast_drift,single,occupancy_16,0,0,0,0,0,0,0,0.12,1.0082963854074478e-05,8.328352123498917e-07,6.416114047169685e-06
